TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750831134460,25.3,0.3,10.0,0.0,15.0,0.0
63750831135548,25.5,0.5,10.0,0.0,15.0,0.0
63750831136640,25.6,0.6,10.0,0.0,15.0,0.0
63750831137725,27.0,2.0,10.0,0.0,15.0,0.0
63750831138816,25.3,0.3,10.0,0.0,15.0,0.1
63750831139897,28.9,3.9,10.0,0.0,15.0,1.9
63750831141006,27.7,2.7,10.0,0.0,15.0,1.4
63750831142105,25.9,0.9,10.0,0.0,15.0,0.4
63750831143205,25.5,0.5,10.0,0.0,15.0,0.3
63750831144295,28.2,3.2,10.0,0.0,15.0,0.8
63750831145374,29.1,4.1,10.0,0.0,15.0,0.1
63750831146455,26.6,1.6,10.0,0.0,15.0,0.1
63750831147568,25.5,0.4,10.0,0.0,15.0,0.0
63750831148673,25.3,0.3,10.0,0.0,15.0,0.0
63750831149762,25.2,0.2,10.0,0.0,15.0,0.0
