TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750833713564,25.3,0.3,10.0,0.0,15.0,0.1
63750833714679,25.4,0.4,10.0,0.0,15.0,0.0
63750833715788,25.4,0.4,10.0,0.0,15.0,0.1
63750833716905,25.2,0.2,10.0,0.0,15.0,0.0
63750833718031,25.4,0.4,10.0,0.0,15.0,0.0
63750833719151,25.5,0.5,10.0,0.0,15.0,0.0
63750833720288,25.9,0.9,10.0,0.0,15.0,0.0
63750833721406,26.1,1.1,10.0,0.0,15.0,0.0
63750833722512,26.0,1.0,10.0,0.0,15.0,0.0
63750833723575,26.7,1.7,10.0,0.0,15.0,0.1
63750833724695,25.4,0.4,10.0,0.0,15.0,0.0
63750833725791,25.4,0.4,10.0,0.0,15.0,0.0
63750833726907,25.3,0.3,10.0,0.0,15.0,0.0
63750833728034,25.6,0.6,10.0,0.0,15.0,0.0
63750833729161,25.3,0.3,10.0,0.0,15.0,0.0
63750833730276,25.5,0.5,10.0,0.0,15.0,0.0
63750833731353,25.2,0.2,10.0,0.0,15.0,0.1
63750833732466,27.5,2.5,10.0,0.0,15.0,0.8
63750833733569,25.3,0.3,10.0,0.0,15.0,0.2
63750833734692,25.4,0.4,10.0,0.0,15.0,0.1
63750833735779,25.4,0.4,10.0,0.0,15.0,0.2
63750833736849,25.9,0.9,10.0,0.0,15.0,0.1
63750833737940,27.6,2.6,10.0,0.0,15.0,0.4
63750833739058,27.2,2.2,10.0,0.0,15.0,0.7
63750833740174,25.3,0.3,10.0,0.0,15.0,0.0
