TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750831297304,25.4,0.4,10.0,0.0,15.0,0.1
63750831298369,25.4,0.4,10.0,0.0,15.0,0.0
63750831299458,27.4,2.4,10.0,0.0,15.0,0.3
63750831300554,26.6,1.6,10.0,0.0,15.0,0.0
63750831301658,25.4,0.4,10.0,0.0,15.0,0.0
63750831302751,25.1,0.1,10.0,0.0,15.0,0.0
63750831303869,25.6,0.6,10.0,0.0,15.0,0.3
63750831304945,29.6,4.5,10.0,0.0,15.0,1.2
63750831306053,29.1,4.1,10.0,0.0,15.0,1.5
63750831307130,25.5,0.5,10.0,0.0,15.0,0.4
63750831308203,25.7,0.7,10.0,0.0,15.0,0.3
63750831309309,25.2,0.2,10.0,0.0,15.0,0.1
63750831310383,25.3,0.3,10.0,0.0,15.0,0.0
63750831311459,25.3,0.3,10.0,0.0,15.0,0.0
63750831312549,27.5,2.5,10.0,0.0,15.0,0.0
63750831313652,25.2,0.2,10.0,0.0,15.0,0.0
63750831314755,25.4,0.4,10.0,0.0,15.0,0.0
63750831315868,25.4,0.4,10.0,0.0,15.0,0.0
63750831316964,27.7,2.7,10.0,0.0,15.0,0.0
63750831318067,25.3,0.3,10.0,0.0,15.0,0.0
63750831319177,26.4,1.4,10.0,0.0,15.0,0.0
