TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829301943,25.5,0.5,10.0,0.0,15.0,0.1
63750829303053,25.3,0.3,10.0,0.0,15.0,0.0
63750829304170,25.5,0.5,10.0,0.0,15.0,0.0
63750829305236,27.6,2.6,10.0,0.0,15.0,0.0
63750829306328,25.7,0.6,10.0,0.0,15.0,0.0
63750829307428,25.2,0.2,10.0,0.0,15.0,0.0
63750829308541,25.1,0.1,10.0,0.0,15.0,0.0
63750829309649,25.2,0.2,10.0,0.0,15.0,0.0
63750829310756,25.2,0.2,10.0,0.0,15.0,0.1
63750829311866,25.2,0.2,10.0,0.0,15.0,0.0
63750829312979,25.3,0.3,10.0,0.0,15.0,0.1
63750829314060,25.2,0.2,10.0,0.0,15.0,0.1
63750829315165,25.3,0.3,10.0,0.0,15.0,0.0
63750829316279,25.3,0.3,10.0,0.0,15.0,0.1
63750829317370,25.1,0.1,10.0,0.0,15.0,0.1
63750829318464,25.3,0.2,10.0,0.0,15.0,0.0
63750829319580,25.2,0.2,10.0,0.0,15.0,0.0
63750829320687,25.6,0.6,10.0,0.0,15.0,0.1
63750829321762,28.9,3.9,10.0,0.0,15.0,0.3
63750829322857,26.1,1.1,10.0,0.0,15.0,0.3
63750829323919,27.1,2.1,10.0,0.0,15.0,0.2
63750829324988,25.3,0.2,10.0,0.0,15.0,0.0
63750829326093,25.2,0.2,10.0,0.0,15.0,0.0
63750829327191,25.3,0.3,10.0,0.0,15.0,0.0
63750829328306,25.2,0.2,10.0,0.0,15.0,0.0
63750829329417,25.2,0.2,10.0,0.0,15.0,0.0
63750829330536,25.1,0.1,10.0,0.0,15.0,0.0
63750829331607,25.2,0.2,10.0,0.0,15.0,0.1
63750829332726,25.2,0.2,10.0,0.0,15.0,0.0
63750829333837,25.5,0.5,10.0,0.0,15.0,0.0
63750829334943,25.8,0.8,10.0,0.0,15.0,0.0
