TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750831704373,25.5,0.5,10.0,0.0,15.0,0.0
63750831705469,30.6,5.6,10.0,0.0,15.0,0.1
63750831706541,25.9,0.9,10.0,0.0,15.0,0.2
63750831707635,27.9,2.9,10.0,0.0,15.0,0.3
63750831708750,25.3,0.3,10.0,0.0,15.0,0.0
63750831709809,25.6,0.6,10.0,0.0,15.0,0.1
63750831710910,25.2,0.2,10.0,0.0,15.0,0.0
63750831712015,25.3,0.3,10.0,0.0,15.0,0.0
63750831713092,25.3,0.3,10.0,0.0,15.0,0.0
63750831714177,28.4,3.4,10.0,0.0,15.0,0.0
63750831715285,25.3,0.3,10.0,0.0,15.0,0.0
63750831716393,26.0,1.0,10.0,0.0,15.0,0.1
63750831717503,25.7,0.7,10.0,0.0,15.0,0.0
63750831718602,28.2,3.2,10.0,0.0,15.0,0.7
63750831719703,25.4,0.4,10.0,0.0,15.0,0.1
63750831720768,25.8,0.8,10.0,0.0,15.0,0.0
63750831721889,25.7,0.7,10.0,0.0,15.0,0.0
63750831722973,26.1,1.1,10.0,0.0,15.0,0.1
63750831724083,25.8,0.8,10.0,0.0,15.0,0.1
63750831725177,27.5,2.5,10.0,0.0,15.0,0.2
63750831726278,26.3,1.3,10.0,0.0,15.0,0.7
63750831727363,28.2,3.2,10.0,0.0,15.0,1.0
63750831728467,27.5,2.5,10.0,0.0,15.0,0.9
63750831729561,25.4,0.4,10.0,0.0,15.0,0.1
63750831730638,25.7,0.7,10.0,0.0,15.0,0.5
63750831731709,26.7,1.7,10.0,0.0,15.0,0.7
63750831732811,26.8,1.8,10.0,0.0,15.0,0.9
63750831733895,27.6,2.6,10.0,0.0,15.0,0.8
63750831734974,28.2,3.1,10.0,0.0,15.0,1.8
63750831736071,27.3,2.3,10.0,0.0,15.0,0.6
63750831737183,26.7,1.7,10.0,0.0,15.0,0.1
63750831738259,26.6,1.6,10.0,0.0,15.0,0.0
63750831739340,25.2,0.2,10.0,0.0,15.0,0.0
63750831740455,25.4,0.4,10.0,0.0,15.0,0.0
