TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750832503754,25.3,0.3,10.0,0.0,15.0,0.0
63750832504871,27.4,2.4,10.0,0.0,15.0,0.0
63750832505978,26.0,1.0,10.0,0.0,15.0,0.0
63750832507081,26.8,1.8,10.0,0.0,15.0,0.0
63750832508201,25.4,0.4,10.0,0.0,15.0,0.2
63750832509300,27.1,2.1,10.0,0.0,15.0,0.6
63750832510416,25.8,0.8,10.0,0.0,15.0,0.4
63750832511515,26.6,1.6,10.0,0.0,15.0,0.6
63750832512574,25.4,0.4,10.0,0.0,15.0,0.2
63750832513682,25.5,0.5,10.0,0.0,15.0,0.1
63750832514789,25.3,0.3,10.0,0.0,15.0,0.1
63750832515906,25.5,0.5,10.0,0.0,15.0,0.0
63750832517022,25.2,0.2,10.0,0.0,15.0,0.0
63750832518130,25.5,0.5,10.0,0.0,15.0,0.0
63750832519245,25.5,0.5,10.0,0.0,15.0,0.0
63750832520347,25.5,0.5,10.0,0.0,15.0,0.0
63750832521436,27.5,2.5,10.0,0.0,15.0,0.0
