TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750834195574,25.3,0.3,10.0,0.0,15.0,0.0
63750834196683,25.3,0.3,10.0,0.0,15.0,0.0
63750834197794,25.4,0.4,10.0,0.0,15.0,0.0
63750834198921,25.3,0.2,10.0,0.0,15.0,0.0
63750834200051,25.4,0.3,10.0,0.0,15.0,0.1
63750834201181,27.3,2.3,10.0,0.0,15.0,0.2
63750834202286,27.3,2.3,10.0,0.0,15.0,0.3
63750834203397,25.4,0.3,10.0,0.0,15.0,0.2
63750834204501,25.9,0.9,10.0,0.0,15.0,0.4
63750834205582,28.0,3.0,10.0,0.0,15.0,0.4
63750834206703,25.4,0.4,10.0,0.0,15.0,0.1
63750834207808,26.7,1.7,10.0,0.0,15.0,0.5
63750834208931,25.3,0.3,10.0,0.0,15.0,0.0
63750834210040,25.6,0.6,10.0,0.0,15.0,0.0
63750834211119,25.5,0.5,10.0,0.0,15.0,0.1
