TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750830474955,25.7,0.7,10.0,0.0,15.0,0.1
63750830476034,25.8,0.8,10.0,0.0,15.0,0.1
63750830477129,25.2,0.2,10.0,0.0,15.0,0.0
63750830478230,25.2,0.2,10.0,0.0,15.0,0.0
63750830479321,25.2,0.2,10.0,0.0,15.0,0.1
63750830480419,25.3,0.3,10.0,0.0,15.0,0.1
63750830481509,26.9,1.9,10.0,0.0,15.0,1.3
63750830482571,27.0,2.0,10.0,0.0,15.0,1.2
63750830483669,25.3,0.3,10.0,0.0,15.0,0.1
63750830484752,25.4,0.4,10.0,0.0,15.0,0.2
63750830485855,25.3,0.3,10.0,0.0,15.0,0.2
63750830486937,25.3,0.3,10.0,0.0,15.0,0.1
63750830488027,25.3,0.3,10.0,0.0,15.0,0.0
63750830489089,28.6,3.6,10.0,0.0,15.0,0.0
63750830490186,25.8,0.8,10.0,0.0,15.0,0.0
63750830491280,25.4,0.4,10.0,0.0,15.0,0.1
63750830492374,25.4,0.4,10.0,0.0,15.0,0.0
63750830493457,25.2,0.2,10.0,0.0,15.0,0.0
63750830494546,25.2,0.2,10.0,0.0,15.0,0.0
