TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750830004573,25.3,0.3,10.0,0.0,15.0,0.0
63750830005689,26.3,1.3,10.0,0.0,15.0,0.1
63750830006787,26.5,1.5,10.0,0.0,15.0,0.1
63750830007876,25.3,0.3,10.0,0.0,15.0,0.0
63750830008934,28.7,3.7,10.0,0.0,15.0,0.0
63750830010021,25.3,0.3,10.0,0.0,15.0,0.0
63750830011121,25.9,0.9,10.0,0.0,15.0,0.5
63750830012189,25.5,0.5,10.0,0.0,15.0,0.3
63750830013282,26.4,1.4,10.0,0.0,15.0,0.8
63750830014377,25.4,0.4,10.0,0.0,15.0,0.3
63750830015487,25.4,0.4,10.0,0.0,15.0,0.3
63750830016580,27.6,2.5,10.0,0.0,15.0,1.5
63750830017668,25.2,0.2,10.0,0.0,15.0,0.0
63750830018763,25.2,0.2,10.0,0.0,15.0,0.0
63750830019850,25.3,0.3,10.0,0.0,15.0,0.0
63750830020948,25.3,0.3,10.0,0.0,15.0,0.0
63750830022058,25.1,0.1,10.0,0.0,15.0,0.0
