TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829499934,25.5,0.5,10.0,0.0,15.0,0.1
63750829501049,25.4,0.4,10.0,0.0,15.0,0.0
63750829502184,25.8,0.8,10.0,0.0,15.0,0.1
63750829503272,26.2,1.2,10.0,0.0,15.0,0.0
63750829504379,25.2,0.2,10.0,0.0,15.0,0.0
63750829505487,25.5,0.5,10.0,0.0,15.0,0.3
63750829506593,25.2,0.2,10.0,0.0,15.0,0.0
63750829507682,27.3,2.3,10.0,0.0,15.0,1.8
63750829508770,25.5,0.5,10.0,0.0,15.0,0.4
63750829509874,25.5,0.4,10.0,0.0,15.0,0.3
63750829510976,25.5,0.5,10.0,0.0,15.0,0.3
63750829512087,25.5,0.5,10.0,0.0,15.0,0.3
63750829513151,29.8,4.8,10.0,0.0,15.0,1.6
63750829514242,25.7,0.7,10.0,0.0,15.0,0.4
63750829515334,28.0,3.0,10.0,0.0,15.0,1.9
63750829516436,27.8,2.8,10.0,0.0,15.0,1.9
63750829517528,27.5,2.5,10.0,0.0,15.0,1.8
63750829518625,25.6,0.6,10.0,0.0,15.0,0.3
63750829519731,25.5,0.5,10.0,0.0,15.0,0.4
63750829520805,25.5,0.5,10.0,0.0,15.0,0.0
63750829521895,25.4,0.4,10.0,0.0,15.0,0.0
63750829523004,25.3,0.3,10.0,0.0,15.0,0.0
