TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750833410323,25.7,0.7,10.0,0.0,15.0,0.1
63750833411433,25.4,0.4,10.0,0.0,15.0,0.0
63750833412546,25.6,0.6,10.0,0.0,15.0,0.1
63750833413633,25.3,0.3,10.0,0.0,15.0,0.0
63750833414742,25.3,0.3,10.0,0.0,15.0,0.1
63750833415852,25.9,0.9,10.0,0.0,15.0,0.2
63750833416931,25.9,0.9,10.0,0.0,15.0,0.2
63750833418012,27.5,2.4,10.0,0.0,15.0,0.2
63750833419115,25.4,0.4,10.0,0.0,15.0,0.2
63750833420222,25.3,0.3,10.0,0.0,15.0,0.1
63750833421335,25.5,0.5,10.0,0.0,15.0,0.2
63750833422413,25.5,0.4,10.0,0.0,15.0,0.2
63750833423530,25.3,0.3,10.0,0.0,15.0,0.0
63750833424633,25.5,0.5,10.0,0.0,15.0,0.0
63750833425745,25.3,0.3,10.0,0.0,15.0,0.0
63750833426823,26.3,1.3,10.0,0.0,15.0,0.2
