TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750832656175,25.6,0.6,10.0,0.0,15.0,0.1
63750832657297,25.5,0.5,10.0,0.0,15.0,0.0
63750832658412,25.4,0.4,10.0,0.0,15.0,0.0
63750832659520,25.5,0.5,10.0,0.0,15.0,0.0
63750832660633,25.5,0.5,10.0,0.0,15.0,0.1
63750832661723,26.3,1.3,10.0,0.0,15.0,0.2
63750832662836,25.4,0.4,10.0,0.0,15.0,0.1
63750832663953,26.2,1.2,10.0,0.0,15.0,0.3
63750832665037,26.6,1.6,10.0,0.0,15.0,0.4
63750832666146,27.8,2.8,10.0,0.0,15.0,0.3
63750832667259,25.4,0.4,10.0,0.0,15.0,0.2
63750832668372,25.6,0.6,10.0,0.0,15.0,0.1
63750832669506,25.5,0.5,10.0,0.0,15.0,0.1
63750832670592,25.6,0.6,10.0,0.0,15.0,0.0
63750832671702,25.6,0.6,10.0,0.0,15.0,0.0
63750832672829,25.7,0.7,10.0,0.0,15.0,0.0
63750832673925,25.4,0.4,10.0,0.0,15.0,0.0
