TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829594896,25.3,0.3,10.0,0.0,15.0,0.1
63750829595989,25.3,0.3,10.0,0.0,15.0,0.0
63750829597074,25.3,0.3,10.0,0.0,15.0,0.0
63750829598181,25.4,0.4,10.0,0.0,15.0,0.0
63750829599254,25.2,0.2,10.0,0.0,15.0,0.0
63750829600356,25.9,0.9,10.0,0.0,15.0,0.3
63750829601460,25.2,0.2,10.0,0.0,15.0,0.1
63750829602552,25.9,0.8,10.0,0.0,15.0,0.2
63750829603643,25.3,0.3,10.0,0.0,15.0,0.1
63750829604747,25.2,0.2,10.0,0.0,15.0,0.1
63750829605828,26.0,1.0,10.0,0.0,15.0,0.4
63750829606920,25.4,0.4,10.0,0.0,15.0,0.2
63750829608018,26.3,1.3,10.0,0.0,15.0,0.7
63750829609095,28.8,3.8,10.0,0.0,15.0,0.2
63750829610187,25.2,0.2,10.0,0.0,15.0,0.0
63750829611277,26.2,1.2,10.0,0.0,15.0,0.0
63750829612367,26.6,1.6,10.0,0.0,15.0,0.0
63750829613486,25.1,0.1,10.0,0.0,15.0,0.0
63750829614584,25.3,0.3,10.0,0.0,15.0,0.0
