TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750833856642,25.5,0.5,10.0,0.0,15.0,0.0
63750833857781,25.5,0.5,10.0,0.0,15.0,0.0
63750833858890,25.8,0.7,10.0,0.0,15.0,0.1
63750833860004,25.4,0.4,10.0,0.0,15.0,0.0
63750833861110,25.9,0.9,10.0,0.0,15.0,0.3
63750833862227,25.5,0.5,10.0,0.0,15.0,0.1
63750833863339,26.6,1.6,10.0,0.0,15.0,0.4
63750833864439,27.0,2.0,10.0,0.0,15.0,0.5
63750833865524,27.8,2.8,10.0,0.0,15.0,0.5
63750833866647,25.8,0.7,10.0,0.0,15.0,0.2
63750833867769,25.6,0.6,10.0,0.0,15.0,0.0
63750833868882,25.4,0.4,10.0,0.0,15.0,0.0
