TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750832860389,25.4,0.4,10.0,0.0,15.0,0.0
63750832861488,25.8,0.8,10.0,0.0,15.0,0.0
63750832862604,25.5,0.5,10.0,0.0,15.0,0.2
63750832863715,27.2,2.2,10.0,0.0,15.0,0.8
63750832864832,26.5,1.5,10.0,0.0,15.0,1.0
63750832865916,30.2,5.2,10.0,0.0,15.0,0.4
63750832867027,25.7,0.7,10.0,0.0,15.0,0.0
63750832868133,25.5,0.5,10.0,0.0,15.0,0.0
63750832869213,25.8,0.8,10.0,0.0,15.0,0.1
63750832870325,25.8,0.8,10.0,0.0,15.0,0.0
63750832871396,25.4,0.4,10.0,0.0,15.0,0.1
63750832872476,27.2,2.2,10.0,0.0,15.0,0.9
63750832873595,28.2,3.2,10.0,0.0,15.0,1.0
63750832874698,26.5,1.5,10.0,0.0,15.0,0.9
63750832875766,26.5,1.5,10.0,0.0,15.0,1.1
63750832876869,27.0,2.0,10.0,0.0,15.0,0.9
63750832877947,26.5,1.5,10.0,0.0,15.0,0.9
63750832879020,25.7,0.7,10.0,0.0,15.0,0.3
63750832880155,25.7,0.7,10.0,0.0,15.0,0.3
63750832881278,27.4,2.4,10.0,0.0,15.0,0.0
63750832882412,25.3,0.3,10.0,0.0,15.0,0.0
63750832883534,25.6,0.6,10.0,0.0,15.0,0.0
