TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750921479354,25.3,0.3,10.0,0.0,15.0,0.0
63750921480387,25.7,0.7,10.0,0.0,15.0,0.1
63750921481432,25.4,0.4,10.0,0.0,15.0,0.1
63750921482469,25.5,0.4,10.0,0.0,15.0,0.0
63750921483495,28.2,3.2,10.0,0.0,15.0,0.4
63750921484528,25.8,0.8,10.0,0.0,15.0,0.3
63750921485551,25.4,0.4,10.0,0.0,15.0,0.1
63750921486578,25.8,0.8,10.0,0.0,15.0,0.2
63750921487614,25.5,0.5,10.0,0.0,15.0,0.2
63750921488640,25.5,0.5,10.0,0.0,15.0,0.3
63750921489683,26.3,1.3,10.0,0.0,15.0,0.7
63750921490713,26.2,1.2,10.0,0.0,15.0,0.6
63750921491731,27.3,2.3,10.0,0.0,15.0,1.7
63750921492760,25.6,0.6,10.0,0.0,15.0,0.4
63750921493810,25.9,0.9,10.0,0.0,15.0,0.5
63750921494841,25.2,0.2,10.0,0.0,15.0,0.0
63750921495869,25.3,0.3,10.0,0.0,15.0,0.1
63750921496916,25.5,0.5,10.0,0.0,15.0,0.0
