TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750923085604,25.3,0.3,10.0,0.0,15.0,0.0
63750923086624,25.7,0.7,10.0,0.0,15.0,0.1
63750923087651,25.4,0.4,10.0,0.0,15.0,0.0
63750923088680,25.7,0.7,10.0,0.0,15.0,0.4
63750923089735,26.3,1.3,10.0,0.0,15.0,0.7
63750923090759,25.6,0.6,10.0,0.0,15.0,0.3
63750923091789,25.6,0.6,10.0,0.0,15.0,0.3
63750923092807,25.6,0.6,10.0,0.0,15.0,0.3
63750923093818,25.6,0.6,10.0,0.0,15.0,0.3
63750923094838,25.3,0.3,10.0,0.0,15.0,0.1
63750923095871,25.2,0.2,10.0,0.0,15.0,0.0
63750923096902,25.4,0.4,10.0,0.0,15.0,0.0
