TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750921204842,25.8,0.8,10.0,0.0,15.0,0.0
63750921205883,28.0,3.0,10.0,0.0,15.0,0.1
63750921206920,25.6,0.5,10.0,0.0,15.0,0.0
63750921207938,25.9,0.9,10.0,0.0,15.0,0.0
63750921208952,25.4,0.4,10.0,0.0,15.0,0.2
63750921209971,25.9,0.9,10.0,0.0,15.0,0.6
63750921210995,26.4,1.4,10.0,0.0,15.0,0.5
63750921212019,28.8,3.8,10.0,0.0,15.0,1.5
63750921213052,28.7,3.7,10.0,0.0,15.0,1.5
63750921214108,33.5,8.5,10.0,0.0,15.0,5.5
63750921215137,25.7,0.7,10.0,0.0,15.0,0.1
63750921216168,25.3,0.2,10.0,0.0,15.0,0.0
63750921217194,25.7,0.6,10.0,0.0,15.0,0.3
63750921218205,25.9,0.8,10.0,0.0,15.0,0.4
63750921219224,26.0,1.0,10.0,0.0,15.0,0.7
63750921220266,26.7,1.7,10.0,0.0,15.0,0.6
63750921221310,25.6,0.5,10.0,0.0,15.0,0.0
63750921222351,25.4,0.4,10.0,0.0,15.0,0.0
63750921223375,27.2,2.2,10.0,0.0,15.0,1.3
63750921224405,25.7,0.7,10.0,0.0,15.0,0.3
63750921225434,26.3,1.3,10.0,0.0,15.0,0.4
63750921226482,25.5,0.5,10.0,0.0,15.0,0.1
63750921227521,25.4,0.4,10.0,0.0,15.0,0.0
63750921228558,26.3,1.3,10.0,0.0,15.0,0.7
63750921229594,27.6,2.6,10.0,0.0,15.0,1.8
63750921230632,25.5,0.5,10.0,0.0,15.0,0.1
63750921231654,25.7,0.7,10.0,0.0,15.0,0.2
63750921232684,25.4,0.4,10.0,0.0,15.0,0.0
63750921233719,26.5,1.5,10.0,0.0,15.0,0.7
63750921234766,27.0,2.0,10.0,0.0,15.0,1.3
63750921235810,25.4,0.4,10.0,0.0,15.0,0.0
63750921236841,25.6,0.6,10.0,0.0,15.0,0.2
63750921237875,25.4,0.4,10.0,0.0,15.0,0.0
63750921238916,25.5,0.5,10.0,0.0,15.0,0.2
63750921239943,26.1,1.1,10.0,0.0,15.0,0.6
63750921240967,25.5,0.5,10.0,0.0,15.0,0.1
63750921242006,25.6,0.6,10.0,0.0,15.0,0.2
63750921243055,25.3,0.3,10.0,0.0,15.0,0.1
63750921244094,25.7,0.7,10.0,0.0,15.0,0.1
63750921245122,27.4,2.4,10.0,0.0,15.0,0.1
63750921246143,25.7,0.7,10.0,0.0,15.0,0.4
63750921247176,25.8,0.8,10.0,0.0,15.0,0.4
63750921248212,25.4,0.4,10.0,0.0,15.0,0.1
63750921249246,25.6,0.5,10.0,0.0,15.0,0.1
63750921250277,25.4,0.4,10.0,0.0,15.0,0.0
63750921251310,25.9,0.9,10.0,0.0,15.0,0.4
63750921252342,25.9,0.9,10.0,0.0,15.0,0.6
63750921253368,25.6,0.6,10.0,0.0,15.0,0.3
63750921254397,25.5,0.5,10.0,0.0,15.0,0.1
63750921255418,27.5,2.5,10.0,0.0,15.0,1.0
63750921256458,26.2,1.2,10.0,0.0,15.0,0.8
63750921257502,26.0,1.0,10.0,0.0,15.0,0.5
63750921258544,25.5,0.5,10.0,0.0,15.0,0.1
63750921259587,25.4,0.4,10.0,0.0,15.0,0.0
63750921260624,25.6,0.6,10.0,0.0,15.0,0.3
63750921261666,28.5,3.5,10.0,0.0,15.0,2.4
63750921262700,25.6,0.6,10.0,0.0,15.0,0.2
63750921263749,25.5,0.5,10.0,0.0,15.0,0.1
63750921264801,28.6,3.6,10.0,0.0,15.0,2.2
63750921265843,30.7,5.7,10.0,0.0,15.0,3.7
63750921266892,25.8,0.8,10.0,0.0,15.0,0.4
63750921267949,25.5,0.5,10.0,0.0,15.0,0.0
63750921268971,25.5,0.5,10.0,0.0,15.0,0.3
63750921269996,25.9,0.9,10.0,0.0,15.0,0.5
63750921271032,25.6,0.6,10.0,0.0,15.0,0.2
63750921272087,25.6,0.6,10.0,0.0,15.0,0.3
63750921273133,25.6,0.6,10.0,0.0,15.0,0.1
63750921274168,25.5,0.5,10.0,0.0,15.0,0.0
63750921275209,26.9,1.9,10.0,0.0,15.0,0.1
