TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750923817851,25.5,0.5,10.0,0.0,15.0,0.0
63750923818877,25.4,0.4,10.0,0.0,15.0,0.0
63750923819905,26.1,1.1,10.0,0.0,15.0,0.3
63750923820915,25.9,0.9,10.0,0.0,15.0,0.1
63750923821941,25.4,0.4,10.0,0.0,15.0,0.1
63750923822957,25.8,0.8,10.0,0.0,15.0,0.1
63750923823979,27.0,2.0,10.0,0.0,15.0,0.1
63750923825011,25.3,0.3,10.0,0.0,15.0,0.0
63750923826042,26.9,1.9,10.0,0.0,15.0,0.6
63750923827089,25.4,0.4,10.0,0.0,15.0,0.2
63750923828121,25.6,0.6,10.0,0.0,15.0,0.3
63750923829161,25.5,0.5,10.0,0.0,15.0,0.1
63750923830208,25.7,0.7,10.0,0.0,15.0,0.4
63750923831261,27.2,2.2,10.0,0.0,15.0,0.5
63750923832296,25.6,0.6,10.0,0.0,15.0,0.3
63750923833315,25.8,0.8,10.0,0.0,15.0,0.4
63750923834342,25.7,0.6,10.0,0.0,15.0,0.4
63750923835385,25.2,0.2,10.0,0.0,15.0,0.0
63750923836419,25.5,0.5,10.0,0.0,15.0,0.0
