TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750922042216,25.6,0.6,10.0,0.0,15.0,0.0
63750922043261,25.7,0.7,10.0,0.0,15.0,0.1
63750922044299,25.6,0.6,10.0,0.0,15.0,0.0
63750922045341,25.5,0.5,10.0,0.0,15.0,0.1
63750922046375,25.6,0.6,10.0,0.0,15.0,0.1
63750922047432,25.3,0.3,10.0,0.0,15.0,0.0
63750922048475,25.4,0.4,10.0,0.0,15.0,0.1
63750922049499,25.3,0.3,10.0,0.0,15.0,0.0
63750922050525,25.7,0.7,10.0,0.0,15.0,0.4
63750922051570,25.5,0.5,10.0,0.0,15.0,0.3
63750922052605,25.6,0.6,10.0,0.0,15.0,0.2
63750922053634,25.5,0.5,10.0,0.0,15.0,0.2
63750922054667,25.5,0.5,10.0,0.0,15.0,0.3
63750922055714,25.4,0.4,10.0,0.0,15.0,0.2
63750922056748,25.5,0.5,10.0,0.0,15.0,0.2
63750922057782,25.3,0.3,10.0,0.0,15.0,0.0
63750922058824,26.2,1.2,10.0,0.0,15.0,0.1
