TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750919997768,25.4,0.4,10.0,0.0,15.0,0.0
63750919998796,25.7,0.7,10.0,0.0,15.0,0.2
63750919999827,26.7,1.7,10.0,0.0,15.0,0.0
63750920000870,25.3,0.3,10.0,0.0,15.0,0.0
63750920001909,25.3,0.3,10.0,0.0,15.0,0.1
63750920002955,25.3,0.3,10.0,0.0,15.0,0.1
63750920003993,25.2,0.2,10.0,0.0,15.0,0.0
63750920005040,25.9,0.9,10.0,0.0,15.0,0.1
63750920006072,27.8,2.8,10.0,0.0,15.0,0.0
63750920007103,25.4,0.4,10.0,0.0,15.0,0.1
63750920008138,25.4,0.4,10.0,0.0,15.0,0.1
63750920009182,25.4,0.4,10.0,0.0,15.0,0.0
63750920010218,25.5,0.5,10.0,0.0,15.0,0.1
63750920011249,25.3,0.2,10.0,0.0,15.0,0.0
63750920012277,25.3,0.3,10.0,0.0,15.0,0.1
63750920013322,25.4,0.4,10.0,0.0,15.0,0.1
63750920014357,25.8,0.8,10.0,0.0,15.0,0.2
63750920015386,25.6,0.5,10.0,0.0,15.0,0.2
63750920016416,25.5,0.5,10.0,0.0,15.0,0.1
63750920017455,25.4,0.4,10.0,0.0,15.0,0.1
63750920018478,25.7,0.7,10.0,0.0,15.0,0.2
63750920019498,25.4,0.4,10.0,0.0,15.0,0.2
63750920020525,25.4,0.4,10.0,0.0,15.0,0.2
63750920021573,25.5,0.5,10.0,0.0,15.0,0.1
63750920022603,25.2,0.2,10.0,0.0,15.0,0.1
63750920023640,25.3,0.3,10.0,0.0,15.0,0.1
63750920024687,25.4,0.4,10.0,0.0,15.0,0.0
63750920025734,25.5,0.5,10.0,0.0,15.0,0.0
63750920026782,25.5,0.5,10.0,0.0,15.0,0.0
63750920027825,25.2,0.2,10.0,0.0,15.0,0.0
