TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750920388478,25.4,0.4,10.0,0.0,15.0,0.0
63750920389502,25.6,0.6,10.0,0.0,15.0,0.0
63750920390530,28.4,3.4,10.0,0.0,15.0,0.2
63750920391574,25.2,0.2,10.0,0.0,15.0,0.0
63750920392618,25.6,0.6,10.0,0.0,15.0,0.0
63750920393655,25.8,0.8,10.0,0.0,15.0,0.2
63750920394682,26.3,1.3,10.0,0.0,15.0,0.3
63750920395734,25.4,0.4,10.0,0.0,15.0,0.1
63750920396761,26.9,1.9,10.0,0.0,15.0,0.4
63750920397797,25.5,0.5,10.0,0.0,15.0,0.1
63750920398844,26.1,1.0,10.0,0.0,15.0,0.2
63750920399888,25.4,0.4,10.0,0.0,15.0,0.2
63750920400932,26.0,1.0,10.0,0.0,15.0,0.1
63750920401950,26.3,1.3,10.0,0.0,15.0,0.5
63750920402966,31.7,6.7,10.0,0.0,15.0,0.4
63750920404002,26.6,1.6,10.0,0.0,15.0,0.3
63750920405040,25.7,0.7,10.0,0.0,15.0,0.1
63750920406080,25.5,0.5,10.0,0.0,15.0,0.0
63750920407122,26.9,1.9,10.0,0.0,15.0,0.0
