TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750920263109,25.5,0.5,10.0,0.0,15.0,0.0
63750920264134,25.7,0.7,10.0,0.0,15.0,0.1
63750920265150,25.3,0.3,10.0,0.0,15.0,0.0
63750920266184,25.3,0.3,10.0,0.0,15.0,0.0
63750920267224,25.3,0.3,10.0,0.0,15.0,0.0
63750920268277,25.2,0.2,10.0,0.0,15.0,0.0
63750920269311,25.2,0.2,10.0,0.0,15.0,0.0
63750920270339,25.2,0.2,10.0,0.0,15.0,0.0
63750920271370,25.3,0.3,10.0,0.0,15.0,0.1
63750920272418,25.2,0.2,10.0,0.0,15.0,0.0
63750920273459,25.3,0.3,10.0,0.0,15.0,0.1
63750920274499,25.3,0.3,10.0,0.0,15.0,0.2
63750920275541,25.6,0.5,10.0,0.0,15.0,0.3
63750920276601,25.7,0.6,10.0,0.0,15.0,0.2
63750920277640,25.4,0.3,10.0,0.0,15.0,0.2
63750920278668,25.6,0.6,10.0,0.0,15.0,0.4
63750920279703,25.4,0.4,10.0,0.0,15.0,0.2
63750920280752,25.5,0.5,10.0,0.0,15.0,0.2
63750920281780,25.4,0.4,10.0,0.0,15.0,0.2
63750920282802,27.5,2.5,10.0,0.0,15.0,0.3
63750920283835,25.6,0.6,10.0,0.0,15.0,0.0
63750920284883,25.3,0.3,10.0,0.0,15.0,0.0
63750920285906,29.0,4.0,10.0,0.0,15.0,0.1
63750920286928,25.5,0.5,10.0,0.0,15.0,0.0
63750920287980,25.4,0.4,10.0,0.0,15.0,0.0
