TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750924796649,25.5,0.5,10.0,0.0,15.0,0.0
63750924797678,25.4,0.4,10.0,0.0,15.0,0.0
63750924798723,25.4,0.4,10.0,0.0,15.0,0.0
63750924799789,25.5,0.5,10.0,0.0,15.0,0.1
63750924800825,26.2,1.2,10.0,0.0,15.0,0.1
63750924801859,25.5,0.5,10.0,0.0,15.0,0.2
63750924802885,25.7,0.7,10.0,0.0,15.0,0.3
63750924803937,26.3,1.3,10.0,0.0,15.0,0.6
63750924804972,27.3,2.3,10.0,0.0,15.0,0.6
63750924805987,27.2,2.2,10.0,0.0,15.0,0.6
63750924807000,25.5,0.5,10.0,0.0,15.0,0.2
63750924808040,25.8,0.8,10.0,0.0,15.0,0.3
63750924809093,25.4,0.4,10.0,0.0,15.0,0.2
63750924810119,25.2,0.2,10.0,0.0,15.0,0.0
63750924811136,25.2,0.2,10.0,0.0,15.0,0.0
63750924812183,25.2,0.2,10.0,0.0,15.0,0.0
63750924813216,25.7,0.7,10.0,0.0,15.0,0.1
63750924814244,25.7,0.7,10.0,0.0,15.0,0.0
63750924815264,28.5,3.5,10.0,0.0,15.0,0.0
