TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746584529,27.5,2.2,10.0,0.3,15.0,0.3
63750746585533,27.0,1.7,10.0,0.3,15.0,0.0
63750746586529,26.4,1.3,10.0,0.1,15.0,0.3
63750746587534,26.9,1.7,10.0,0.2,15.0,0.2
63750746588551,26.4,1.2,10.0,0.2,15.0,0.2
63750746589569,26.7,1.5,10.0,0.2,15.0,0.0
63750746590575,26.3,1.1,10.0,0.2,15.0,0.0
63750746591582,26.4,1.2,10.0,0.2,15.0,0.0
63750746592590,26.6,1.4,10.0,0.2,15.0,0.0
63750746593594,26.6,1.4,10.0,0.1,15.0,0.2
63750746594602,26.5,1.4,10.0,0.1,15.0,0.1
63750746595611,26.2,1.0,10.0,0.2,15.0,0.1
63750746596616,27.5,2.3,10.0,0.2,15.0,0.4
63750746597631,26.0,0.9,10.0,0.1,15.0,0.0
63750746598646,27.2,2.1,10.0,0.1,15.0,0.2
63750746599658,27.7,2.6,10.0,0.0,15.0,0.3
63750746600659,27.1,2.1,10.0,0.0,15.0,0.1
63750746601677,31.1,6.1,10.0,0.0,15.0,0.0
63750746602686,28.2,3.2,10.0,0.0,15.0,0.0
63750746603685,25.4,0.4,10.0,0.0,15.0,0.0
63750746604693,27.7,2.7,10.0,0.0,15.0,0.1
63750746605730,28.5,3.4,10.0,0.1,15.0,0.2
63750746606762,26.3,1.2,10.0,0.1,15.0,0.1
63750746607781,25.4,0.3,10.0,0.1,15.0,0.0
63750746608791,25.6,0.6,10.0,0.0,15.0,0.1
63750746609803,25.4,0.3,10.0,0.1,15.0,0.0
63750746610816,25.6,0.5,10.0,0.1,15.0,0.0
63750746611857,25.5,0.4,10.0,0.1,15.0,0.0
63750746612895,25.4,0.4,10.0,0.0,15.0,0.0
63750746613908,25.6,0.5,10.0,0.1,15.0,0.1
63750746614948,26.2,1.2,10.0,0.0,15.0,0.1
63750746615966,25.6,0.4,10.0,0.1,15.0,0.1
63750746616999,26.7,1.7,10.0,0.0,15.0,0.2
63750746618026,25.8,0.7,10.0,0.1,15.0,0.1
63750746619062,25.8,0.6,10.0,0.2,15.0,0.1
63750746620092,25.2,0.2,10.0,0.1,15.0,0.0
63750746621100,27.1,2.1,10.0,0.0,15.0,0.1
63750746622127,25.3,0.3,10.0,0.0,15.0,0.0
63750746623155,25.7,0.7,10.0,0.0,15.0,0.1
63750746624186,25.2,0.2,10.0,0.0,15.0,0.0
63750746625221,26.9,1.9,10.0,0.0,15.0,0.0
63750746626246,25.6,0.5,10.0,0.1,15.0,0.0
63750746627276,25.6,0.5,10.0,0.1,15.0,0.0
63750746628314,25.3,0.2,10.0,0.1,15.0,0.0
63750746629327,25.4,0.4,10.0,0.0,15.0,0.0
