TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748673939,26.1,1.1,10.0,0.0,15.0,0.2
63750748674946,26.7,1.7,10.0,0.0,15.0,0.2
63750748675968,25.7,0.7,10.0,0.0,15.0,0.1
63750748676973,26.3,1.3,10.0,0.0,15.0,0.2
63750748677983,25.0,0.0,10.0,0.0,15.0,0.1
63750748679001,26.2,1.2,10.0,0.0,15.0,0.2
63750748680009,25.4,0.4,10.0,0.0,15.0,0.1
63750748681017,25.8,0.8,10.0,0.0,15.0,0.1
63750748682019,25.4,0.4,10.0,0.0,15.0,0.2
63750748683038,26.0,1.0,10.0,0.0,15.0,0.2
63750748684054,25.8,0.8,10.0,0.0,15.0,0.4
63750748685061,26.1,1.1,10.0,0.0,15.0,0.3
63750748686070,25.6,0.6,10.0,0.0,15.0,0.4
63750748687078,25.5,0.5,10.0,0.0,15.0,0.0
63750748688081,26.0,1.0,10.0,0.0,15.0,0.0
