TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750844213856,25.3,0.3,10.0,0.0,15.0,0.0
63750844214884,25.4,0.4,10.0,0.0,15.0,0.1
63750844215919,25.5,0.5,10.0,0.0,15.0,0.0
63750844216958,27.7,2.7,10.0,0.0,15.0,0.4
63750844217988,25.5,0.5,10.0,0.0,15.0,0.0
63750844219011,25.1,0.1,10.0,0.0,15.0,0.0
63750844220028,25.5,0.5,10.0,0.0,15.0,0.0
63750844221040,28.4,3.4,10.0,0.0,15.0,0.0
63750844222050,29.2,4.2,10.0,0.0,15.0,0.0
63750844223064,28.5,3.5,10.0,0.0,15.0,0.0
63750844224072,28.9,3.9,10.0,0.0,15.0,0.1
63750844225071,29.1,4.1,10.0,0.0,15.0,0.3
63750844226085,29.1,4.1,10.0,0.0,15.0,0.2
63750844227091,28.6,3.6,10.0,0.0,15.0,0.0
63750844228102,28.7,3.7,10.0,0.0,15.0,0.0
63750844229103,28.7,3.7,10.0,0.0,15.0,0.0
63750844230122,28.6,3.6,10.0,0.0,15.0,0.5
63750844231154,25.2,0.2,10.0,0.0,15.0,0.1
63750844232170,25.5,0.5,10.0,0.0,15.0,0.1
63750844233187,28.7,3.7,10.0,0.0,15.0,0.0
63750844234199,29.1,4.1,10.0,0.0,15.0,0.1
63750844235225,29.4,4.4,10.0,0.0,15.0,0.2
63750844236235,29.3,4.3,10.0,0.0,15.0,0.1
63750844237246,28.3,3.3,10.0,0.0,15.0,0.2
63750844238258,29.0,4.0,10.0,0.0,15.0,0.1
63750844239268,28.9,3.9,10.0,0.0,15.0,0.1
63750844240278,28.9,3.9,10.0,0.0,15.0,0.1
63750844241290,28.9,3.9,10.0,0.0,15.0,0.1
63750844242303,28.7,3.7,10.0,0.0,15.0,0.2
63750844243313,29.1,4.1,10.0,0.0,15.0,0.3
63750844244323,28.7,3.7,10.0,0.0,15.0,0.1
63750844245339,28.9,3.9,10.0,0.0,15.0,0.0
63750844246341,29.2,4.2,10.0,0.0,15.0,0.2
63750844247362,29.1,4.1,10.0,0.0,15.0,0.2
63750844248373,27.7,2.7,10.0,0.0,15.0,0.5
63750844249386,28.5,3.5,10.0,0.0,15.0,0.0
63750844250405,28.9,3.9,10.0,0.0,15.0,0.0
63750844251427,28.9,3.9,10.0,0.0,15.0,0.1
63750844252440,29.2,4.2,10.0,0.0,15.0,0.2
63750844253453,28.8,3.8,10.0,0.0,15.0,0.2
63750844254465,29.0,4.0,10.0,0.0,15.0,0.2
63750844255482,28.8,3.7,10.0,0.0,15.0,0.1
63750844256497,29.2,4.2,10.0,0.0,15.0,0.3
63750844257514,28.7,3.7,10.0,0.0,15.0,0.0
63750844258530,29.1,4.1,10.0,0.0,15.0,0.2
63750844259544,28.4,3.4,10.0,0.0,15.0,0.2
63750844260556,29.4,4.3,10.0,0.0,15.0,0.1
63750844261558,29.0,4.0,10.0,0.0,15.0,0.3
63750844262571,29.0,4.0,10.0,0.0,15.0,0.0
63750844263576,29.0,4.0,10.0,0.0,15.0,0.3
63750844264586,29.0,4.0,10.0,0.0,15.0,0.0
63750844265592,28.5,3.5,10.0,0.0,15.0,0.1
63750844266611,29.3,4.3,10.0,0.0,15.0,0.3
63750844267627,28.5,3.5,10.0,0.0,15.0,0.1
63750844268633,29.0,4.0,10.0,0.0,15.0,0.2
63750844269636,29.1,4.1,10.0,0.0,15.0,0.1
63750844270654,29.2,4.2,10.0,0.0,15.0,0.1
63750844271679,28.9,3.9,10.0,0.0,15.0,0.1
63750844272684,29.3,4.2,10.0,0.0,15.0,0.1
63750844273706,29.0,4.0,10.0,0.0,15.0,0.2
63750844274714,29.4,4.4,10.0,0.0,15.0,0.3
63750844275736,28.5,3.5,10.0,0.0,15.0,0.1
63750844276744,29.4,4.4,10.0,0.0,15.0,0.3
63750844277758,28.7,3.7,10.0,0.0,15.0,0.0
63750844278766,28.9,3.9,10.0,0.0,15.0,0.2
63750844279780,31.1,6.1,10.0,0.0,15.0,0.4
63750844280791,29.4,4.4,10.0,0.0,15.0,0.1
63750844281813,29.0,4.0,10.0,0.0,15.0,0.0
