TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748202408,26.2,1.2,10.0,0.0,15.0,0.1
63750748203406,26.0,1.0,10.0,0.0,15.0,0.0
63750748204407,26.6,1.6,10.0,0.0,15.0,0.3
63750748205425,25.5,0.5,10.0,0.0,15.0,0.1
63750748206441,27.3,2.3,10.0,0.0,15.0,0.2
63750748207456,25.1,0.1,10.0,0.0,15.0,0.0
63750748208476,26.3,1.3,10.0,0.0,15.0,0.1
63750748209484,25.2,0.2,10.0,0.0,15.0,0.2
63750748210484,26.5,1.5,10.0,0.0,15.0,0.3
63750748211488,25.5,0.5,10.0,0.0,15.0,0.2
63750748212498,26.6,1.6,10.0,0.0,15.0,0.3
63750748213504,25.8,0.8,10.0,0.0,15.0,0.2
63750748214517,27.9,2.9,10.0,0.1,15.0,0.3
63750748215524,25.8,0.6,10.0,0.1,15.0,0.3
63750748216532,26.4,1.4,10.0,0.0,15.0,0.2
63750748217535,25.7,0.6,10.0,0.1,15.0,0.3
63750748218551,26.3,1.2,10.0,0.1,15.0,0.4
63750748219566,25.5,0.5,10.0,0.0,15.0,0.3
63750748220575,26.4,1.4,10.0,0.0,15.0,0.2
63750748221581,25.6,0.6,10.0,0.0,15.0,0.1
63750748222595,26.6,1.6,10.0,0.0,15.0,0.0
63750748223599,25.4,0.4,10.0,0.0,15.0,0.1
63750748224611,26.1,1.1,10.0,0.0,15.0,0.0
63750748225613,25.3,0.3,10.0,0.0,15.0,0.0
