TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750747657873,25.7,0.7,10.0,0.0,15.0,0.1
63750747658901,25.5,0.5,10.0,0.0,15.0,0.0
63750747659931,25.8,0.8,10.0,0.0,15.0,0.1
63750747660977,25.5,0.5,10.0,0.0,15.0,0.1
63750747661998,25.6,0.6,10.0,0.0,15.0,0.1
63750747663035,25.3,0.3,10.0,0.0,15.0,0.0
63750747664052,26.3,1.2,10.0,0.0,15.0,0.3
63750747665074,25.3,0.3,10.0,0.0,15.0,0.0
63750747666111,25.7,0.7,10.0,0.0,15.0,0.1
63750747667136,25.5,0.5,10.0,0.0,15.0,0.2
63750747668169,25.6,0.6,10.0,0.0,15.0,0.2
63750747669193,25.5,0.5,10.0,0.0,15.0,0.1
63750747670226,26.2,1.2,10.0,0.0,15.0,0.3
63750747671236,25.3,0.3,10.0,0.0,15.0,0.1
63750747672265,26.4,1.4,10.0,0.0,15.0,0.3
63750747673300,25.2,0.2,10.0,0.0,15.0,0.1
63750747674317,26.8,1.8,10.0,0.0,15.0,0.2
63750747675349,25.4,0.4,10.0,0.0,15.0,0.0
63750747676377,26.5,1.5,10.0,0.0,15.0,0.0
