TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750843803277,25.4,0.4,10.0,0.0,15.0,0.0
63750843804295,25.6,0.6,10.0,0.0,15.0,0.1
63750843805327,27.5,2.5,10.0,0.0,15.0,0.0
63750843806372,25.5,0.5,10.0,0.0,15.0,0.0
63750843807406,25.4,0.4,10.0,0.0,15.0,0.2
63750843808427,27.1,2.1,10.0,0.0,15.0,0.4
63750843809447,25.2,0.2,10.0,0.0,15.0,0.1
63750843810483,27.4,2.4,10.0,0.0,15.0,0.4
63750843811492,31.2,6.1,10.0,0.1,15.0,0.4
63750843812507,25.9,0.9,10.0,0.0,15.0,0.3
63750843813533,25.2,0.2,10.0,0.0,15.0,0.1
63750843814568,25.9,0.9,10.0,0.0,15.0,0.2
63750843815589,26.7,1.6,10.0,0.0,15.0,0.4
63750843816618,26.4,1.4,10.0,0.0,15.0,0.3
63750843817657,26.9,1.9,10.0,0.0,15.0,0.5
63750843818708,26.4,1.4,10.0,0.0,15.0,0.3
63750843819729,25.3,0.3,10.0,0.0,15.0,0.1
63750843820762,25.6,0.6,10.0,0.0,15.0,0.0
63750843821804,25.2,0.2,10.0,0.0,15.0,0.0
63750843822832,25.5,0.5,10.0,0.0,15.0,0.1
