TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748314904,25.8,0.8,10.0,0.0,15.0,0.0
63750748315913,25.9,0.9,10.0,0.0,15.0,0.0
63750748316924,25.0,0.0,10.0,0.0,15.0,0.0
63750748317930,26.2,1.2,10.0,0.0,15.0,0.1
63750748318946,25.2,0.1,10.0,0.0,15.0,0.0
63750748319954,26.9,1.9,10.0,0.0,15.0,0.2
63750748320983,26.3,1.3,10.0,0.0,15.0,0.4
63750748321985,27.4,2.4,10.0,0.0,15.0,0.7
63750748322986,25.7,0.7,10.0,0.0,15.0,0.4
63750748323987,26.4,1.4,10.0,0.0,15.0,0.1
63750748325009,26.0,1.0,10.0,0.0,15.0,0.0
63750748326018,26.6,1.6,10.0,0.0,15.0,0.2
63750748327035,25.4,0.4,10.0,0.0,15.0,0.0
63750748328048,26.7,1.7,10.0,0.0,15.0,0.2
63750748329048,25.0,0.0,10.0,0.0,15.0,0.0
63750748330052,26.3,1.2,10.0,0.0,15.0,0.2
63750748331068,25.9,0.9,10.0,0.0,15.0,0.2
63750748332093,26.0,1.0,10.0,0.0,15.0,0.1
63750748333101,25.4,0.4,10.0,0.0,15.0,0.2
63750748334107,26.8,1.8,10.0,0.0,15.0,0.2
63750748335109,25.3,0.3,10.0,0.0,15.0,0.2
63750748336113,26.9,1.9,10.0,0.0,15.0,0.2
63750748337134,25.6,0.6,10.0,0.0,15.0,0.1
63750748338144,26.1,1.1,10.0,0.0,15.0,0.0
63750748339162,25.5,0.5,10.0,0.0,15.0,0.3
63750748340178,26.4,1.4,10.0,0.0,15.0,0.2
63750748341201,25.6,0.6,10.0,0.0,15.0,0.1
63750748342206,26.0,1.0,10.0,0.0,15.0,0.1
63750748343223,25.3,0.3,10.0,0.0,15.0,0.2
63750748344239,27.4,2.4,10.0,0.0,15.0,0.2
63750748345259,25.8,0.8,10.0,0.0,15.0,0.0
63750748346272,26.2,1.2,10.0,0.0,15.0,0.0
