TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748776535,26.3,1.3,10.0,0.0,15.0,0.2
63750748777558,27.1,2.1,10.0,0.0,15.0,0.3
63750748778568,25.8,0.8,10.0,0.0,15.0,0.3
63750748779584,27.1,2.1,10.0,0.0,15.0,0.2
63750748780611,25.3,0.3,10.0,0.0,15.0,0.1
63750748781613,26.2,1.1,10.0,0.0,15.0,0.2
63750748782633,27.1,2.1,10.0,0.0,15.0,0.2
63750748783638,27.0,1.9,10.0,0.0,15.0,0.3
63750748784642,25.6,0.6,10.0,0.0,15.0,0.4
63750748785665,26.0,1.0,10.0,0.0,15.0,0.2
63750748786672,25.5,0.5,10.0,0.0,15.0,0.3
63750748787674,26.1,1.1,10.0,0.0,15.0,0.3
63750748788676,25.6,0.6,10.0,0.0,15.0,0.3
63750748789691,25.6,0.6,10.0,0.0,15.0,0.0
63750748790709,25.4,0.4,10.0,0.0,15.0,0.2
63750748791718,25.9,0.9,10.0,0.0,15.0,0.0
63750748792725,26.0,1.0,10.0,0.0,15.0,0.1
