TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750747558923,26.7,1.7,10.0,0.0,15.0,0.2
63750747559932,25.5,0.5,10.0,0.0,15.0,0.0
63750747560968,25.9,0.9,10.0,0.0,15.0,0.0
63750747562000,29.4,4.4,10.0,0.0,15.0,0.5
63750747563018,27.2,2.2,10.0,0.0,15.0,0.2
63750747564033,25.3,0.3,10.0,0.0,15.0,0.1
63750747565057,27.0,2.0,10.0,0.0,15.0,0.3
63750747566087,25.4,0.4,10.0,0.0,15.0,0.1
63750747567092,25.5,0.5,10.0,0.0,15.0,0.1
63750747568109,25.6,0.6,10.0,0.0,15.0,0.2
63750747569132,25.8,0.8,10.0,0.0,15.0,0.2
63750747570156,25.4,0.4,10.0,0.0,15.0,0.1
63750747571181,26.6,1.6,10.0,0.0,15.0,0.3
63750747572222,25.4,0.4,10.0,0.0,15.0,0.0
63750747573251,25.9,0.8,10.0,0.0,15.0,0.0
63750747574297,25.6,0.6,10.0,0.0,15.0,0.1
63750747575325,26.8,1.8,10.0,0.0,15.0,0.0
