TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750747821146,25.9,0.9,10.0,0.0,15.0,0.2
63750747822158,28.0,3.0,10.0,0.0,15.0,0.2
63750747823177,26.7,1.7,10.0,0.0,15.0,0.1
63750747824196,27.0,2.0,10.0,0.0,15.0,0.2
63750747825208,26.4,1.4,10.0,0.0,15.0,0.1
63750747826225,26.2,1.2,10.0,0.0,15.0,0.3
63750747827241,25.5,0.5,10.0,0.0,15.0,0.2
63750747828248,27.0,2.0,10.0,0.0,15.0,0.3
63750747829251,26.3,1.3,10.0,0.0,15.0,0.2
63750747830257,26.8,1.8,10.0,0.0,15.0,0.3
63750747831274,26.8,1.8,10.0,0.0,15.0,0.4
63750747832283,26.7,1.7,10.0,0.0,15.0,0.4
63750747833304,25.7,0.7,10.0,0.0,15.0,0.3
63750747834313,26.8,1.8,10.0,0.0,15.0,0.2
63750747835314,26.3,1.3,10.0,0.0,15.0,0.2
63750747836330,26.7,1.6,10.0,0.0,15.0,0.1
63750747837354,27.7,2.7,10.0,0.0,15.0,0.1
63750747838361,26.7,1.7,10.0,0.0,15.0,0.0
63750747839363,25.5,0.5,10.0,0.0,15.0,0.0
